id,id_users,id_restourant,rating
1,1923,42620,1.0
2,5032,43962,7.0
3,1655,43574,10.0
4,1409,40235,7.3
5,1948,42958,10.0
6,1072,39237,10.0
7,1918,42951,9.7
8,2561,43765,10.0
9,2093,38874,9.7
10,5226,46935,2.7
11,431,31582,10.0
12,5565,39685,10.0
13,1194,40956,3.3
14,1010,40956,10.0
15,2162,43235,9.3
16,4877,44271,1.0
17,2363,43586,8.0
18,2351,43586,10.0
19,3409,30700,1.7
20,4562,47228,10.0
21,2642,41786,10.0
22,4604,45379,5.3
23,648,35528,10.0
24,649,35528,9.7
25,376,35528,8.7
26,792,40769,9.7
27,617,35552,10.0
28,4033,39571,9.0
29,5032,43869,6.3
30,3331,43869,6.3
31,257,32976,9.0
32,306,32744,9.0
33,5151,45348,10.0
34,4551,45348,10.0
35,2128,38997,10.0
36,849,40198,10.0
37,723,40198,10.0
38,661,40198,10.0
39,1292,40330,1.0
40,744,38421,10.0
41,2857,42255,8.7
42,1943,39534,2.3
43,3436,33811,1.0
44,1481,38807,10.0
45,4731,44034,8.0
46,529,38268,5.3
47,2679,39842,8.3
48,2638,44210,10.0
49,386,38279,10.0
50,1612,34832,9.0
51,732,38019,9.3
52,884,40756,9.3
53,1653,41994,6.0
54,3264,35856,3.0
55,3535,45635,10.0
56,2008,43216,9.0
57,2898,44336,10.0
58,1950,43226,8.3
59,1926,39482,9.3
60,5581,30583,10.0
61,70,30583,9.7
62,5370,39008,10.0
63,382,33328,8.3
64,3020,44798,10.0
65,1335,41483,3.7
66,5003,46627,10.0
67,4777,46627,10.0
68,4586,46627,8.7
69,3331,44166,8.7
70,1817,37291,10.0
71,2154,38714,10.0
72,875,35635,8.7
73,1329,42037,8.5
74,1328,42037,8.0
75,1327,42037,9.5
76,1326,42037,9.0
77,1303,42037,9.0
78,3336,31421,8.3
79,2957,31421,9.0
80,2353,31421,9.3
81,2094,31421,4.7
82,2072,31421,10.0
83,1386,31421,9.7
84,1330,31421,9.0
85,813,31421,7.3
86,710,31421,10.0
87,353,31421,9.0
88,145,31421,7.0
89,117,31421,9.3
90,104,31421,8.0
91,493,31122,8.7
92,450,31122,9.0
93,2439,35061,10.0
94,2438,35061,10.0
95,2525,40727,10.0
96,913,40727,10.0
97,2451,40727,10.0
98,1581,40727,10.0
99,2403,40727,10.0
100,2362,40727,10.0
101,2160,40727,10.0
102,2132,40727,10.0
103,1529,40727,10.0
104,1993,40727,10.0
105,1977,40727,10.0
106,1682,40727,10.0
107,1572,40727,10.0
108,1658,40727,10.0
109,1643,40727,10.0
110,1629,40727,10.0
111,1191,40727,10.0
112,1188,40727,10.0
113,1167,40727,10.0
114,1140,40727,10.0
115,1129,40727,10.0
116,1111,40727,10.0
117,5095,42572,10.0
118,2199,42572,9.0
119,1522,42572,8.7
120,1306,42572,8.3
121,3819,33916,10.0
122,2698,33916,9.7
123,2697,33916,9.7
124,3297,33195,10.0
125,3134,33195,10.0
126,2896,33195,10.0
127,1744,33351,8.7
128,1803,33351,9.0
129,138,33351,9.3
130,2657,42263,10.0
131,848,42263,10.0
132,3375,42263,2.0
133,2720,42263,10.0
134,854,42263,10.0
135,1645,42263,10.0
136,2430,42263,10.0
137,2680,42263,10.0
138,27,42263,10.0
139,1814,42263,10.0
140,1843,42263,10.0
141,2324,42263,4.3
142,2272,42263,9.3
143,1843,42263,10.0
144,1814,42263,10.0
145,1830,42263,9.3
146,27,42263,10.0
147,4991,44669,1.0
148,4739,44669,10.0
